id,detection_algorithm,localisation_algorithm,classification_algorithm,segmentation_balanced_binary_accuracy,segmentation_dice_coefficient,segmentation_precision,segmentation_recall,chamfer_separation,frac_sources_detected,classification_precision,classification_recall,frac_4fgl_detected,frac_4fgl_detected_and_classified
0,unet,dbscan,random_forest,0.9699007159765356,0.9527606291283983,0.9650560483172221,0.9418913465669867,49142.826199307725,0.4112707321159323,0.5419783462573102,0.7747717220862117,0.9990359122680164,0.47446236559139787
1,unet,dbscan,cnn,0.9699007159765356,0.9527606291283983,0.9650560483172221,0.9418913465669867,49142.826199307725,0.4112707321159323,0.6642510545327004,0.9171821310229523,0.9990359122680164,0.2157258064516129
2,unet,blob_detection,random_forest,0.9699007159765356,0.9527606291283983,0.9650560483172221,0.9418913465669867,160747.01053727456,0.01202043893449489,0.5631418349218041,0.7711440882646247,0.9852976620872499,0.44642857142857145
3,unet,blob_detection,cnn,0.9699007159765356,0.9527606291283983,0.9650560483172221,0.9418913465669867,160747.01053727456,0.01202043893449489,0.651527436588627,0.9128672942293915,0.9852976620872499,0.125
4,unet,kmeans,random_forest,0.9699007159765356,0.9527606291283983,0.9650560483172221,0.9418913465669867,606741.2878068662,0.03513988942871503,0.6222969261434633,0.7101738147970099,0.8659918052542781,0.5969664138678223
5,unet,kmeans,cnn,0.9699007159765356,0.9527606291283983,0.9650560483172221,0.9418913465669867,606741.2878068662,0.03513988942871503,0.6758732570385191,0.8673490322977458,0.8659918052542781,0.5882990249187432
6,pspnet,dbscan,random_forest,0.8774919218632553,0.8289049401027421,0.9216318649717083,0.7588784488629982,52199.66658803492,0.4087786898978053,0.5583621737263196,0.8095961237945494,0.9910821884791516,0.4276729559748428
7,pspnet,dbscan,cnn,0.8774919218632553,0.8289049401027421,0.9216318649717083,0.7588784488629982,52199.66658803492,0.4087786898978053,0.6900719887220156,0.9359627916252574,0.9910821884791516,0.43535988819007687
8,pspnet,blob_detection,random_forest,0.8774919218632553,0.8289049401027421,0.9216318649717083,0.7588784488629982,165225.08879641842,0.010010051934997486,0.6001549519110451,0.7951587325659007,0.977825982164377,0.37209302325581395
9,pspnet,blob_detection,cnn,0.8774919218632553,0.8289049401027421,0.9216318649717083,0.7588784488629982,165225.08879641842,0.010010051934997486,0.6749147891845867,0.9133609983165408,0.977825982164377,0.27906976744186046
10,pspnet,kmeans,random_forest,0.8774919218632553,0.8289049401027421,0.9216318649717083,0.7588784488629982,1192857.820307045,0.004481487686379628,0.8633971291866028,0.5664826097994414,0.8052542781393107,0.6801968019680197
11,pspnet,kmeans,cnn,0.8774919218632553,0.8289049401027421,0.9216318649717083,0.7588784488629982,1192857.820307045,0.004481487686379628,0.6055498207541131,0.7781956080223408,0.8052542781393107,0.4440344403444034
12,random_forest,dbscan,random_forest,0.7986111794991371,0.6755819761073665,0.7884787106283612,0.6067401869884057,47417.2112288094,0.4682735801641816,0.5730695721002811,0.8339130621710059,0.8346589539648108,0.5374087591240876
13,random_forest,dbscan,cnn,0.7986111794991371,0.6755819761073665,0.7884787106283612,0.6067401869884057,47417.2112288094,0.4682735801641816,0.6778890203766182,0.9363457692497602,0.8346589539648108,0.4215328467153285
14,random_forest,blob_detection,random_forest,0.7986111794991371,0.6755819761073665,0.7884787106283612,0.6067401869884057,169970.24438418026,0.008104372591723906,0.6074655912313554,0.8408702895128778,0.7539166064111834,0.5
15,random_forest,blob_detection,cnn,0.7986111794991371,0.6755819761073665,0.7884787106283612,0.6067401869884057,169970.24438418026,0.008104372591723906,0.6741637209777047,0.9159716773771539,0.7539166064111834,0.2
16,random_forest,kmeans,random_forest,0.7986111794991371,0.6755819761073665,0.7884787106283612,0.6067401869884057,29719.173806855288,0.6247068185625733,0.5583576806439859,0.8102302983157049,0.9985538684020245,0.45129015271195366
17,random_forest,kmeans,cnn,0.7986111794991371,0.6755819761073665,0.7884787106283612,0.6067401869884057,29719.173806855288,0.6247068185625733,0.6705028860001391,0.9229979657648396,0.9985538684020245,0.25908372827804105
