patch_id,centre_lat,centre_lon,num_agn,num_psr
0,84.14973293629666,45.0,19,0
1,84.14973293629666,135.0,16,0
2,84.14973293629666,-135.0,13,0
3,84.14973293629666,-45.0,11,0
4,78.28414760510762,22.5,13,0
5,78.28414760510762,67.5,14,0
6,78.28414760510762,112.5,19,0
7,78.28414760510762,157.5,16,0
8,78.28414760510762,-157.5,14,0
9,78.28414760510762,-112.5,10,0
10,78.28414760510762,-67.5,10,0
11,78.28414760510762,-22.5,11,0
12,72.38756092964962,15.0,6,0
13,72.38756092964962,45.0,8,0
14,72.38756092964962,75.0,18,0
15,72.38756092964962,105.0,13,0
16,72.38756092964962,135.0,14,0
17,72.38756092964962,165.0,18,0
18,72.38756092964962,-165.0,11,0
19,72.38756092964962,-135.0,14,0
20,72.38756092964962,-105.0,17,0
21,72.38756092964962,-75.0,13,0
22,72.38756092964962,-45.0,8,0
23,72.38756092964962,-15.0,9,0
24,66.44353569089877,11.25,12,0
25,66.44353569089877,33.75,11,0
26,66.44353569089877,56.25,17,0
27,66.44353569089877,78.75,13,0
28,66.44353569089877,101.25,10,0
29,66.44353569089877,123.75,16,0
30,66.44353569089877,146.25,15,0
31,66.44353569089877,168.75,20,0
32,66.44353569089877,-168.75,9,0
33,66.44353569089877,-146.25,18,0
34,66.44353569089877,-123.75,11,0
35,66.44353569089877,-101.25,15,0
36,66.44353569089877,-78.75,12,0
37,66.44353569089877,-56.25,8,0
38,66.44353569089877,-33.75,7,0
39,66.44353569089877,-11.25,9,0
40,60.43443884495228,9.0,10,0
41,60.43443884495228,27.0,13,0
42,60.43443884495228,45.0,13,0
43,60.43443884495228,63.0,13,0
44,60.43443884495228,81.0,18,0
45,60.43443884495228,99.0,16,0
46,60.43443884495228,117.0,14,0
47,60.43443884495228,135.0,17,0
48,60.43443884495228,153.0,9,0
49,60.43443884495228,171.0,13,0
50,60.43443884495228,-171.0,15,0
51,60.43443884495228,-153.0,10,0
52,60.43443884495228,-135.0,11,0
53,60.43443884495228,-117.0,8,0
54,60.43443884495228,-99.0,5,0
55,60.43443884495228,-81.0,12,0
56,60.43443884495228,-63.0,13,0
57,60.43443884495228,-45.0,15,0
58,60.43443884495228,-27.0,10,0
59,60.43443884495228,-9.0,9,0
60,54.340912303861245,7.5,7,0
61,54.340912303861245,22.5,10,0
62,54.340912303861245,37.5,7,0
63,54.340912303861245,52.5,11,0
64,54.340912303861245,67.5,12,0
65,54.340912303861245,82.5,15,0
66,54.340912303861245,97.5,18,0
67,54.340912303861245,112.5,11,0
68,54.340912303861245,127.5,17,0
69,54.340912303861245,142.5,18,0
70,54.340912303861245,157.5,15,0
71,54.340912303861245,172.5,13,0
72,54.340912303861245,-172.5,17,0
73,54.340912303861245,-157.5,12,0
74,54.340912303861245,-142.5,9,0
75,54.340912303861245,-127.5,8,0
76,54.340912303861245,-112.5,17,0
77,54.340912303861245,-97.5,14,0
78,54.340912303861245,-82.5,12,0
79,54.340912303861245,-67.5,7,0
80,54.340912303861245,-52.50000000000006,13,0
81,54.340912303861245,-37.5,11,0
82,54.340912303861245,-22.5,10,0
83,54.340912303861245,-7.5,6,0
84,48.141207794360284,6.428571428571416,11,0
85,48.141207794360284,19.285714285714278,11,0
86,48.141207794360284,32.14285714285714,14,0
87,48.141207794360284,45.0,9,0
88,48.141207794360284,57.85714285714286,6,0
89,48.141207794360284,70.71428571428572,14,0
90,48.141207794360284,83.57142857142856,14,0
91,48.141207794360284,96.42857142857144,14,0
92,48.141207794360284,109.28571428571428,12,0
93,48.141207794360284,122.14285714285711,19,0
94,48.141207794360284,135.0,13,0
95,48.141207794360284,147.8571428571429,12,0
96,48.141207794360284,160.71428571428572,17,0
97,48.141207794360284,173.57142857142856,19,0
98,48.141207794360284,-173.57142857142856,15,0
99,48.141207794360284,-160.71428571428572,9,0
100,48.141207794360284,-147.8571428571429,8,0
101,48.141207794360284,-135.0,6,0
102,48.141207794360284,-122.14285714285711,12,0
103,48.141207794360284,-109.28571428571428,13,0
104,48.141207794360284,-96.42857142857144,13,0
105,48.141207794360284,-83.57142857142856,17,0
106,48.141207794360284,-70.71428571428572,9,0
107,48.141207794360284,-57.85714285714283,6,0
108,48.141207794360284,-45.0,14,0
109,48.141207794360284,-32.14285714285717,11,0
110,48.141207794360284,-19.28571428571422,9,0
111,48.141207794360284,-6.428571428571445,3,0
112,41.81031489577859,5.625,5,0
113,41.81031489577859,16.875,11,0
114,41.81031489577859,28.125,12,0
115,41.81031489577859,39.375,8,0
116,41.81031489577859,50.625,13,0
117,41.81031489577859,61.875,17,0
118,41.81031489577859,73.125,18,0
119,41.81031489577859,84.375,19,0
120,41.81031489577859,95.625,15,0
121,41.81031489577859,106.875,11,0
122,41.81031489577859,118.125,17,0
123,41.81031489577859,129.375,18,0
124,41.81031489577859,140.625,15,0
125,41.81031489577859,151.875,16,0
126,41.81031489577859,163.125,15,0
127,41.81031489577859,174.375,18,0
128,41.81031489577859,-174.375,10,0
129,41.81031489577859,-163.125,13,0
130,41.81031489577859,-151.875,8,0
131,41.81031489577859,-140.625,5,0
132,41.81031489577859,-129.37500000000006,8,0
133,41.81031489577859,-118.125,9,0
134,41.81031489577859,-106.875,5,0
135,41.81031489577859,-95.625,6,0
136,41.81031489577859,-84.375,14,0
137,41.81031489577859,-73.12500000000006,14,0
