RA,DEC,GLON,Variability_Index,Signif,Unc_Energy_Flux100,Spectral_Index,Flux,Signif_Curv,hr12,hr23,hr34,hr45,pulsarness
2.65,20.73,110.22,0.0,6.997,0.0,2.3850918,1.0,0.0,-0.28088257,-0.21921565,-0.119042926,-0.57450217,Non-Pulsar
2.67,-30.43,10.26,5.1670694,24.289,-28.474483,2.313965,0.0,1.2522378,0.00023626798,-0.2274785,-0.48878148,-0.35866573,Non-Pulsar
2.72,-21.9,60.28,2.5525818,6.05,-28.906948,2.344206,0.0,-2.1792736,0.16696605,-0.14310066,-0.16078557,-1.6294298,Non-Pulsar
2.85,-41.17,330.75,2.4482052,4.389,-28.879938,2.4706922,0.0,-0.4264955,-0.3778602,-0.53403956,-0.021082006,0.49872202,Non-Pulsar
2.86,0.96,102.41,5.8467646,28.245,-28.085522,2.2577264,0.0,1.0828307,-0.13086554,-0.14446169,-0.2323885,-0.60076237,Non-Pulsar
2.95,-31.72,2.56,3.0976532,7.793,-28.948605,1.9457566,0.0,-0.36562535,-0.48312923,-0.09036004,0.2451348,0.23389645,Non-Pulsar
3.0,70.73,119.66,3.640808,12.206,-27.857943,2.4018137,0.0,-0.20001702,-0.31613255,-0.23356521,-0.2365281,-0.04815282,Non-Pulsar
3.26,33.92,113.89,4.6688356,11.104,-28.708267,2.2566066,0.0,0.19914857,0.05968619,-0.15666288,-0.1756602,-0.15432808,Non-Pulsar
3.28,-39.93,332.34,3.4904752,24.768,-28.450806,1.9156355,0.0,1.2247931,0.6238542,0.16405687,-0.16292879,-0.23842774,Non-Pulsar
3.35,9.84,107.64,2.9989448,9.274,-28.540167,1.971606,0.0,0.088374995,0.42059332,0.020546732,-0.20369549,0.24894015,Non-Pulsar
3.4,40.86,115.26,2.732614,7.02,-28.695213,2.2823253,0.0,0.13022138,-0.1505072,-0.19226329,-0.22549577,0.13015622,Non-Pulsar
3.42,-4.4,99.66,0.0,9.184,0.0,2.1819768,1.0,0.0,-0.26984876,-0.24449253,0.040663328,0.32332516,Non-Pulsar
3.48,-18.91,74.59,0.0,14.792,0.0,1.9045731,1.0,0.0,0.062067904,0.22871104,0.03850444,-0.2580023,Non-Pulsar
3.54,19.17,110.89,3.70534,9.595,-28.52406,2.2126043,0.0,0.8826947,0.113562614,-0.1297232,-0.16878384,-0.15398267,Non-Pulsar
3.55,-50.37,317.45,0.0,13.949,0.0,2.1073663,1.0,0.0,-0.34905377,0.012855964,-0.16340397,-0.43791407,Non-Pulsar
3.57,8.91,107.62,0.0,5.967,0.0,2.501718,1.0,0.0,-0.1532817,-0.4139218,-0.17309694,0.33718947,Non-Pulsar
3.59,-5.01,99.51,3.3180776,14.114,-28.165848,2.3709893,0.0,0.14850271,0.3729043,-0.37277138,0.05346808,0.1398873,Non-Pulsar
3.69,58.03,118.07,2.7173488,11.777,-28.574354,1.5650905,0.0,0.9428075,0.9950303,0.22658393,0.69332623,0.4492752,Non-Pulsar
3.72,61.3,118.56,2.4980452,19.225,-27.869917,1.963949,0.0,1.1654003,0.14379144,0.11301049,-0.01610832,0.09421024,Non-Pulsar
3.73,32.22,114.01,3.8345811,16.589,-28.40148,2.4546266,0.0,1.2148625,-0.1205246,-0.3976699,-0.39345968,0.3133633,Non-Pulsar
3.82,35.62,114.72,0.0,6.99,0.0,1.9551985,1.0,0.0,-0.20765446,-0.34128624,0.22323596,0.5763897,Non-Pulsar
3.91,55.86,117.89,0.0,16.471,0.0,1.820141,1.0,0.0,-0.36502305,0.17566465,0.042981297,0.2687123,Non-Pulsar
3.99,24.68,112.76,2.822553,12.199,-28.70402,2.137794,0.0,-0.4963482,-0.4669528,0.08624592,-0.08051958,-1.5421468,Non-Pulsar
4.06,-0.28,104.01,4.9460635,19.94,-28.244568,2.6349397,0.0,1.4139199,-0.22499761,-0.3929503,-0.838899,1.6022692,Non-Pulsar
4.14,17.04,111.1,3.133484,4.991,-28.466282,2.7106428,0.0,0.46136197,-0.3554478,-0.21308357,-0.5208581,1.580283,Non-Pulsar
4.26,-6.83,99.46,3.6788375,20.323,-28.48229,2.2992733,0.0,0.41666797,-0.17177138,-0.11529617,-0.16862145,-1.465898,Non-Pulsar
4.39,-5.23,101.21,5.8187313,28.707,-27.990227,2.51887,0.0,1.3724387,-0.22262262,-0.27114907,-0.48587677,-0.55662674,Non-Pulsar
4.47,14.92,110.97,2.7889028,10.465,-28.634089,2.2390501,0.0,-0.8250052,-0.3882017,-0.09170864,0.058823958,-0.47297317,Non-Pulsar
4.62,29.78,114.44,2.6184118,15.602,-28.503399,1.5384591,0.0,0.84948343,-0.21224104,0.43366063,0.35228363,0.24534653,Non-Pulsar
4.72,26.19,113.88,4.5102315,7.91,-28.45122,2.6147585,0.0,0.88754106,-0.048244376,-0.5742139,-0.51376283,0.43401894,Non-Pulsar
4.81,-56.68,311.75,4.6838093,14.666,-28.859547,2.3001575,0.0,-0.2548014,0.03879757,-0.26139015,-0.029607026,-0.11796931,Non-Pulsar
